autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Steve Krug	Nenuťte uživatele přemýšlet!	Don’t make me think	2014	2000	978-80-251-2923-4.jpg	it	Dnes už není žádným tajemstvím, že testování použitelnosti může testovaný produkt dramaticky vylepšit. Nemusí však být drahou záležitostí, kterou si mohou dovolit jen ty největší společnosti. Steve Krug předvádí, že testování použitelnosti zvládnete vy sami, a to s minimálními náklady.
Andrew Blum	Z čeho je Internet: Výprava do nitra světové sítě	Tubes: A Journey to the Center of the Internet	2014	2012	978-80-251-3800-7.jpg	it	Kam vede internetový kabel poté, co opustí váš byt? Kudy cestují informace, než se zobrazí v okně vašeho prohlížeče? Jak je zajištěno internetové propojení kontinentů, abyste mohli z tepla svého domova nakupovat na americkém Amazonu?
Gregory Bateson	Mysl a příroda – Nezbytná jednota	Mind and Nature: A Necessary Unity	2014	1979	80-86702-19-7.jpg	filozofie, věda, ekologie	Základní dílo přírodovědce, antropologa, kybernetika, ekologa, etnologa a zakladatele rodinné terapie, v němž se zamýšlí nad skrytou dynamikou života. Kniha se stala milníkem myšlení dvacátého století a kanonickou knihou hnutí New Age.
Michel Houellebecq	Elementární částice	Les Particules élémentaires	2014	1998	978-80-7407-160-7.jpg	beletrie	Francouzský bestseller z roku 1998, který vynesl autorovi celosvětový ohlas. Uprostřed tápající a nevýrazné literatury zapůsobil jako časovaná bomba.
Thomas L. Friedman	Horký, zploštělý a přelidněný - Proč potřebujeme zelenou revoluci	Hot, flat, and crowded	2014	2008	978-80-200-1881-6.jpg	historie, socio-ekonomie, ekologie	Kniha držitele Pulitzerovy ceny přinášející nový pohled na krizi vyvolanou klimatickými změnami, dramatickým růstem populace a stále větším soupeřením o zdroje energie. Oslovuje všechny, jimž záleží na budoucnosti Ameriky a tvrdí, že ambiciózní zelená strategie je potřebná nejen k záchraně planety před přehřátím, ale i k tomu, aby byla Amerika zdravější, bohatší, produktivnější a bezpečnější.
Stephen M. Johnson	Charakterové typy člověka	Characterological transformation	2014	1985	978-80-251-1521-3.jpg	psychologie, psychoterapie, body	Čtivě napsaná kniha překládaná do řady jazyků, která je určena především psychologům, psychoterapeutům, psychiatrům nebo studentům psychologie. Své si v ní však najde každý, kdo se zajímá o to, jaké faktory v dětství určují lidské chování, jaká je podstata lidské povahy a co ji od narození formuje, co způsobuje poruchy osobnosti a jak lze tyto poruchy terapeuticky ovlivnit.
Sam Keen	Žár v těle: Jak být mužem	Fire in The Belly	2014	1992	978-80-7500-049-1.jpg	gender	Co doopravdy znamená být mužem? Žár v těle na tuto otázku odpovídá pomocí smělé konfrontace zastaralých modelů mužství, které muže zbídačují, zraňují a odcizují. Místo nich poodhaluje, jak mohou muži najít vlastní cestu k porozumění jedinečným mužským mystériím i procesu, pomocí něhož opět objevujeme novou vitalitu a mužnost. Ty poté prostoupí každý aspekt našeho života. Kniha předkládá nový pohled na muže v práci, při hře, ve válce i ve věcech lásky. Jde v ní o posun od narušenosti k celistvosti, o pěstování péče o druhé a o uspokojivé vztahy mezi přáteli i v rodině. Dosud nikdy nehledalo tolik mužů nové role, postoje a způsoby existence. V této silné a posilující knize Sam Keen převypravuje moderním způsobem starodávný příběh hledání, co to znamená být mužem – mužem s žárem v těle a vášní v srdci.
Arthur Japin	Nádherná vada	Schitterend gebrek	2014	2004	80-7185-741-6.jpg	beletrie	Lucie, hlavní hrdinka, vyrůstá s rodiči na severoitalském panství, kam jednoho dne přijíždí i G. Casanova a jeho bratr Francesko. Lucie i Giacomo se na první pohled zamilují, jejich lásce nestojí nic v cestě, city se prohlubují, mladí lidé se poznávají a vědí, že jsou si souzeni. Casanova odjíždí do Benátek zařídit pár neodkladných záležitostí, jeho návrat bude však brzký, jak sám svou Lucii uklidňuje. Ani Lucie nezahálí, soustřeďuje se na studium dějin a literatury, aby svému budoucímu vzdělanému muži byla dobrou a rovnocennou partnerkou. Bohužel Lucie onemocní neštovicemi, které jí zohaví obličej, sama se rozhodne Giacoma ušetřit a opustit ho. Její život bez prostředků a se znetvořeným obličejem není jednoduchý, živí se jako služebná i jako společnice mladé archeoložky. Nouze ji však donutí stát se nevěstkou a v tomto postavení potkává i svou dávnou lásku Giacoma, jehož život též změnil.
Paul Varcholik	Real-Time 3D Rendering with DirectX and HLSL	Real-Time 3D Rendering with DirectX and HLSL	2014	2014	978-0321962720.jpg	it, en	This step-by-step text demystifies modern graphics programming so you can quickly start writing professional code with DirectX and HLSL. Expert graphics instructor Paul Varcholik starts with the basics: a tour of the Direct3D graphics pipeline, a 3D math primer, and an introduction to the best tools and support libraries.
Bedřich Beneš, Jiří Sochor, Petr Felkel, Jiří Žára	Moderní počítačová grafika	Moderní počítačová grafika	2014	2010	9788025104545.jpg	it	Kniha je širokým a uceleným průřezem metodami rovinné a prostorové počítačové grafiky. Předpokládá u svých čtenářů rozsah znalostí odpovídající středoškolskému vzdělání. Je určena všem zájemcům o principy počítačové grafiky. Kniha je vyčerpávajícím vědeckým pojednáním a u nás svého druhu ojedinělou monografií pro zpracovanou tematiku. Ocení ji především programátoři a další specialisté. PC World č. 6/2005
Brian Tracy	Cíle	Goals!	2015	2010	9788073702502.jpg	osobní rozvoj	Objevte sedm klíčových prvků, které jsou nutné pro stanovení cílů a zároveň dvanáct kroků, které potřebujete k tomu, abyste dosáhli jakéhokoli cíle, který si vytyčíte.Jen těžko se můžete trefit, když nevíte, do čeho přesně míříte.
Robert Glover	Rádce pravého muže	No More Mr. Nice Guy	2015	2000	978-80-7370-298-4.jpg	gender	Každý z nás asi zná nějakého hodného hocha. Možná jste to dokonce vy sám. Jste přítel, který umí naslouchat, máte plno kamarádek, jež se vám svěřují a považují vás za dobrou partii, ale žádná vás nepozve, když se chce opravdu pobavit. Jste manžel, který se zoufale snaží, aby jeho žena byla šťastná, jenže vám samotnému manželství nepřináší ani citové, ani sexuální naplnění. Jste zkrátka milý a spolehlivý chlapík, na kterého se každý rád obrátí o radu či pomoc, ale máte pocit, že žijete život ostatních, a ne svůj vlastní. Přesně tohle nazývá autor této knihy dr. Robert Glover „syndrom hodného hocha“. Podle Glovera mnoho mužů věří mýtu, že pokud budou hodní a budou se obětovat pro ostatní, každý si je zamiluje a z jejich života zmizí veškeré problémy. Tato kniha tento mýtus vyvrací. Dozvíte se, že nasloucháním vlastním potřebám můžete tyto nezdravé vzorce chování změnit a získat zpět vládu nad svým životem.
Matthew Fox	Skrytá spiritualita muže	The Hidden Spirituality of Man	2015	2008	978-80-7370-309-7.jpg	gender	Název této knihy je záměrně provokativní. Je opravdu duchovní život muže skrytý nebo dokonce utajený? Jaké pro to máme důkazy? A je-li tomu tak, proč?
Nassim Nicholas Taleb	Antifragilita – Jak těžit z nahodilosti, neurčitosti a chaosu	Antifragile: Things That Gain from Disorder	2015	2012	978-80-7432-498-7.jpg	socio-ekonomie, věda	Proč je městský stát lepší než stát národní? Proč mít připravenu výpověď ještě předtím, než nastoupíte na nové místo? A proč znamenalo ztroskotání Titanicu spíše záchranu než ztrátu lidských životů? Nejnovější kniha amerického akademika a investičního poradce Nassima Nicholase Taleba klade, jak je u autora zvykem, řadu provokativních otázek, především ale opět dochází k závěrům, které mohou bez nadsázky změnit náš život. Základní myšlenky svých předešlých knih Černá labuť a Zrádná nahodilost – tedy především to, jak podstatnou roli hrají v našem životě nepředvídatelné události, nahodilost a štěstí – rozvíjí autor poukazem na potenciálně pozitivní roli neurčitosti, chaosu a volatility, jevů, kterých se instinktivně spíše obáváme. Paradoxně právě z nich můžeme podle autora těžit a dosáhnout tak nejen odolnosti, ale i „antifragility“ – tak jako pevnost našich kostí vzrůstá tehdy, jsou-li namáhány. Dokážeme-li to, budeme schopni úspěšně čelit i dnešnímu nejistému a překotně se měnícímu světu.
Ashlee Vance	Elon Musk	Elon Musk	2015	2015	978-80-87270-73-8.jpg	biografie	Pokud v Silicon Valley hledali nový idol po Stevu Jobsovi, našli jej ve svérázném Elonu Muskovi. Je nazýván vizionářem, těžkým workoholikem, i novodobým Iron Manem. Ashley Vance, píšící pro Bloomberg Business Week, přináší ve své nové biografii vyvážený pohled na život tohoto podnikatelského titána.
Erik Brynjolfsson, Andrew McAfee	Druhý věk strojů	The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies	2015	2014	978-80-87270-71-4.jpg	it, socio-ekonomie	Chcete uspět v závodě s umělou inteligencí? Chcete vědět, co mají studovat vaše děti, aby v budoucnu našly práci?
Arkadij Borisovič Rovner	Nebeské příbytky	Небесные селения	2015	2006	978-80-87580-36-3.jpg	beletrie, gurdžijev	Fiktivní mystický cestopis po nebeském souostroví Makám je podivuhodným vnitřním dobrodružstvím asyriologa Nikolaje podtrženým autorovou hlubokou melancholickou ruskou duší toužící po neuchopitelném.
Petr Milén	Geometrie v dějinách náboženství	Geometrie v dějinách náboženství	2015	2015	978-80-7260-316-9.jpg	filozofie, art-design, religionistika	Nejde o odbornou monografii, filozofickou či religionistickou, nýbrž o esejistiku psanou z živé osobní potřeby a určenou všem, kteří si někdy položili otázky typu: v čem se dnešní západní civilizace radikálně liší od předchozích i ostatních kultur, jakým způsobem racionalita ovlivňuje myšlení a náboženské chování velkých společenství a proč náboženský fundamentalismus často končí v násilí a teroru. Úvahy doplňuje polemické zamyšlení přední české teoložky Denisy Červenkové. Nakladatelská anotace. Kráceno.
Benedikt Gross, Julia Laub, Hartmut Bohnacker	Generative Design: Visualize, Program, and Create with Processing	Generative Design: Visualize, Program, and Create with Processing	2015	2012	978-1616890773.jpg	en, it, art-design	Generative design is a revolutionary new method of creating artwork, models, and animations from sets of rules, or algorithms. By using accessible programming languages such as Processing, artists and designers are producing extravagant, crystalline structures that can form the basis of anything from patterned textiles and typography to lighting, scientific diagrams, sculptures, films, and even fantastical buildings. Opening with a gallery of thirty-five illustrated case studies, Generative Design takes users through specific, practical instructions on how to create their own visual experiments by combining simple-to-use programming codes with basic design principles. A detailed handbook of advanced strategies provides visual artists with all the tools to achieve proficiency. Both a how-to manual and a showcase for recent work in this exciting new field, Generative Design is the definitive study and reference book that designers have been waiting for.
Zdeněk Neubauer	Boschův triptych v zrcadle písma	Boschův triptych v zrcadle písma	2016	2016	978-80-7530-038-6.jpg	art-design, věda, filozofie	Triptych Hieronyma Bosche Zahrada pozemských rozkoší byl po staletí výkladů pevně spojen s výsostným mytickým příběhem evropské civilizace – stvořením světa, po otevření triptychu pak příběhem stvoření našich prarodičů Adama a Evy a osudu jejich potomků, lidstva, až k jejich zániku.
Alejandro Jodorowsky	Psychomagie	Psicomagía	2016	1995	978-80-7530-012-6.jpg	duchovní, biografie	Jsme nemocní. I když navenek můžeme překypovat zdravím, každý si v sobě nese nějaké trauma – nejčastěji z útlého dětství – které mu brání plně se realizovat a vést šťastný a plnohodnotný život. Alejandru Jodorowskymu během bouřlivého a plodného života pod rukama vykrystalizovala svérázná terapeutická metoda, kterou nazývá „psychomagie“.
Arthur Janov	Primární terapie	The New Primal Scream	2016	1991	978-80-7500-073-6.jpg	psychoterapie, body	Neurologie a psychologie, dva obory, které by se měly vzájemně doplňovat a spolupracovat na léčbě duševních onemocnění, se již dlouho diametrálně rozcházejí. Zatímco neurologové hledají klíč k lidské povaze v mikroskopickém světě neuronů, psychologové zkoumají lidské chování na úkor studia mozku. Kniha Primární terapie, plod více než třiceti let intenzivního psychologického výzkumu, tuto propast překlenuje. Ukazuje, proč je láska nejdůležitějším faktorem pro zdravý vývoj mozku. Přehledně a srozumitelně objasňuje, proč, chceme-li se skutečně uzdravit, musíme sestoupit do nejtemnějších zákoutí mozku, kde se nacházejí vtištěné vzpomínky a bolest, a naplno si prožít své prvotní zkušenosti, jež dodnes ovlivňují naše chování.
James Hillman, Michael Ventura	Máme za sebou sto let psychoterapie, a svět je stále horší	We've Had a Hundred Years of Psychotherapy – And the World's Getting Worse	2016	1993	978-80-7530-040-9.jpg	psychoterapie, jung	Troufalá a rozhněvaná řada vášnivých rozhovorů a dopisů je sžíravým komentářem a kritikou nejen dnešní psychoterapie, ale také takřka všech významných aspektů současného života – sexuality, politiky, médií, životního prostředí i městského života. James Hillman, kontroverzní a neortodoxní jungiánský psycholog, muž, kterého Robert Bly nazval „nejživější a nejoriginálnější americký psycholog od dob Williama Jamese“ – společně s Michaelem Venturou – provokativním fejetonistou L. A. Weekly a romanopiscem – otřásají mnoha obecně přijímanými přesvědčeními o našich životech, duši i společnosti. Dva brilantní a troufalí intelektuální divoši porušují pravidla a jezdí na červenou, aby udeřili do samotného jádra našich domněnek a pokáceli všechna naše zlatá telata.
Alice Miller	Procitnutí Evy : o odstranění emocionální zaslepenosti	Evas ervachen	2016	2003	978-80-7530-052-2.jpg	psychoterapie	Rané emocionální zkušenosti zanechávají v těle stopy, které kódujeme jako informace a které v dospělosti ovlivňují náš způsob myšlení, cítění a jednání, ale naše vědomí je odmítá. Právě takto často vzniká bludný kruh násilí. O tom, jak ho prolomit, jak z emocionálního poznání vlastního příběhu proniknout k hlubšímu vědomí, píše Alice Millerová v této knize. V Procitnutí Evy nám vysvětluje příčiny pocitů, jimž často nerozumíme, a ukazuje možnost vyjít z naší nezaviněné nesvéprávnosti – k dobru dnešní i příštích generací.
Hermann Hesse	Demian	Demian	2016	1919	978-80-7203-979-1.jpg	beletrie	Jeden z nejvýznačnějších románů nositele Nobelovy ceny za literaturu vznikl pod vlivem psychoanalýzy, Nietzscheho myšlenek a východní filozofie. Výjimečný text o složitém hledání sebe sama, o rozpolcenosti vlastního Já nachází stále nové generace čtenářů.
Hermann Hesse	Siddhártha	Siddhartha	2016	1922	80-7203-531-2.jpg	beletrie	Povídka Siddhárta napsaná v letech 1919 až 1922 nese podtitul „indická báseň“. Vskutku básnickým jazykem se v ní vypráví příběh bráhmanského syna Siddhárthy, který hledá pravdu a smysl života. Hermann Hesse (1877–1962) si při hledání cesty z myšlenkových a společenských krizí své doby i z krizí vlastních bere na pomoc myšlení Východu. Vedle čínské moudrosti jsou to především prvky hinduismu a zejména buddhismu, k němuž autor dlouhá léta inklinoval. Buddhismus však naprosto nebyl nějakým jeho „vyznáním“ a povídka Siddhártha je dle Hesseho vyjádření výrazem osvobození od svázanosti indickým myšlením. V podstatě zde jde o velmi německé hledání svébytné osobní existence, vlastního já. Nikoli skrze nějakou nauku, ale osobním úsilím. Lidské moudrosti se nelze naučit pomocí doktriny, je nutno k ní dospět vlastním životem.
Hermann Hesse	Stepní vlk	Der Steppenwolf	2016	1927	80-7203-758-7.jpg	beletrie	Samostatné vydání světově proslulého románu z roku 1927. Hesse v něm bilancuje krize uplynulého desetiletí a pokouší se formulovat východiska z nich. Poučen psychoanalýzou odhaluje ponor ke kořenům vlastní osobnosti i snahu o překonání sváru ducha a pudů. Román vyniká neobvyklou strukturou, poetickou hrou fantazie i působivým prolínáním snu a skutečnosti.
Bill Plotkin	Divoká mysl: Průvodce lidskou psychikou	Wild Mind: A Field Guide to the Human Psyche	2016	2013	978-80-7500-193-1.jpg	duchovní, jung, ekologie	Naše lidská psychika disponuje podivuhodnými zdroji, které v nás čekají, o jejichž existenci bychom ani nemuseli vědět, dokud nezjistíme, jak k nim získat přístup a kultivovat jejich síly, jejich nevyužitý potenciál a hlubiny. Divoká mysl identifikuje tyto zdroje – které Bill Plotkin nazývá čtyřmi aspekty Já neboli čtyřmi dimenzemi naší vrozené lidské celistvosti – a také čtyři skupiny roztříštěných nebo zraněných dílčích osobností, jež se formují v průběhu dětství. Místo navrhování způsobů, jak naše dílčí osobnosti eliminovat (což není možné) nebo je přemoci a dostat do područí, Plotkin popisuje, jak kultivovat čtyři aspekty Já a odhalit dary našich dílčích osobností. Klíčem k dosažení naší prvotní celistvosti není pouze potlačování psychických symptomů, zotavení se ze závislostí a traumat nebo zvládání stresu, ale schopnost plně ztělesňovat naši rozmanitou mysl a odevzdat se významnějšímu, duší prostoupenému příběhu, který jsme schopni žít, a sloužit širší komunitě Země.
Hans-Ulrich Thamer	Dějiny světa 6	WBG Weltgeschichte 6	2016	2010	978-80-7429-436-5.jpg	historie	Závěrečný svazek šestidílné edice Dějin světa, v originále vydávané prestižním německým nakladatelstvím WBG v Darmstadtu, se věnuje dvacátému století – století razantních proměn. Již na jeho počátku dosahoval obchod a průmyslová produkce bezmála dnešní globální šíře. Dvojice světových válek měla sice negativní dopad na celou širokou oblast lidského života a společnosti, nicméně právě v jejich průběhu dosáhl technicko-průmyslový pokrok svého vrcholu. Politické změny vedly k novému uspořádání společnosti i mezinárodních vztahů, jehož vliv je patrný dodnes. Konec 20. století se vyznačuje dramatickým zrychlením toku informací, jakož i toků finančních, zároveň se však vynořuje vědomí odpovědnosti vůči přírodě a životnímu prostředí. Svazek se věnuje rovněž fenoménu masové kultury a je završen obsáhlým výhledem do 21. století.
Arthur Zajonc	Uchopit světlo: Dějiny světla a mysli	Catching the Light: The Entwined History of Light and Mind	2017	1993	978-80-7530-009-6.jpg	filozofie, věda	Co znamenalo světlo pro naše předky a co znamená pro nás? Vychází světlo z očí slunečního boha Re, anebo je to jen elektromagnetické vlnění? Proč ještě dnes cítíme bázeň před jevy, jako je duha nebo prostý plamen svíčky? Byli staří Řekové barvoslepí, když mluvili o bronzovém nebi a o moři vínové barvy? A proč se operace, které mají pacientům vrátit zrak, tak často nezdaří?
Robert Moore, Douglas Gillette	Král, Válečník, Kouzelník, Milovník	King, Warrior, Magician, Lover	2017	1990	80-7106-444-0.jpg	psychoterapie, gender	Analytický (jungiánský) pohled na mužskou duši. Autoři poukazují na problematiku nezralých mužů a současnou krizi mužské identity. Příčiny vidí ve dvou základních faktorech - vytrácení rituálních praktik, speciálně iniciačních a přechodových rituálů, ze života moderní společnosti a v přežívání patriarchátu jakožto projevu nezralé mužnosti. Současní muži nepostrádají ani tak vztah k ženství, jak je jim vytýkáno feministkami, ale spíše jim chybí vztah k pravé mužnosti. Svoji nezralost zakrývají panovačností, agresivitou a předstíráním mužnosti. Cesta k nápravě tohoto stavu je možná skrze jungovskou psychologii, kdy prostřednictvím aktivní imaginace se muži doberou k archetypům zralé mužnosti, tedy přejdou od psychologie chlapce k psychologii muže, která se pojí s archetypy Krále, Válečníka, Kouzelníka a Milovníka.
Mary Dian Molton, Lucy Anne Sikes	Matka, Hetéra, Amazonka, Médium	Four Eternal Women: Toni Wolff Revisited - A Study in Opposites	2017	2011	978-80-262-0921-8.jpg	psychoterapie, gender	Toni Wolfová, analyzandka, spolupracovnice, družka a přítelkyně C. G. Junga a spoluzakladatelka Psychologické společnosti v Curychu, navrhla model čtyř ženských archetypů, které proti sobě stojí v protikladech na dvou osách osobních a neosobních vztahů. Každý z archetypů (Matka, Hetéra, Amazonka a Médium) kromě vnímaných charakteristik nese i vlastní stín. Autorky rozpracovávají tento model a představují čtyři archetypy v teoretické i praktické rovině.
Martin Ryšavý	Cesty na Sibiř - 1. díl	Cesty na Sibiř - 1. díl	2017	2008	978-80-87037-13-3.jpg	beletrie	Hrdinou Cest na Sibiř je mladík toužící stát se „mužem s vlastnostmi“. rezignuje proto na vědeckou kariéru i rodinný život a vydává se na dalekou pouť, v jejíž zdánlivě chaotické trajektorii pozvolna rozpoznává logiku hlubšího řádu. Martin Ryšavý představuje tápavě křivolakou životní cestu svého hrdiny věcným, na první pohled neefektně „tradičním“ stylem, který je ve skutečnosti důmyslnou fabulační kompozicí spjatou účelně uměřeným jazykem. Cesty na Sibiř tak můžeme vnímat jako vývojový román, v němž se „formovaným subjektem“ stává především sám styl a žánr vyprávění: kniha, kterou lze číst jako cestopis, jako milostný příběh, nebo třeba i jako dokument o současných životních podmínkách na ruském Dálném Východě, se ve svém celku stává „klasickou“ románovou skladbou o smyslu lidské touhy po dosažení duchovních jistot.
Evelyn Underhill	Mystika – Podstata a cesta duchovního vědomí	Mysticism. A Study in the Nature and Development of Spiritual Consciousness	2017	1911	80-86862-03-8.jpg	duchovní, křesťanství	Mystika (1911) je již téměř celé století považována za zcela ojedinělý a do dnešní doby nepřekonaný text, jehož autorka Evelyn Underhill je dosud pokládána za nejpřednější znalkyni v oblasti duchovního uvažování. Mystika je vynikající studií o lidském duchovním vědomí, jež je nazíráno nejen z pohledu nejhlubšího prožitku a niterných úvah, ale zároveň i konfrontováno s nejrůznějšími filozofickými, psychologickými a náboženskými hledisky.Na pozadí nejosobnějších rozjímání a svědectví takových velkých mystiků jako Mistr Eckhart, sv. Jan od Kříže, sv. Terezie z Avily nebo Džaláluddín Rúmí autorka nabízí jedinečný vhled do mystického světa a díky zohlednění řady perspektiv odkrývá jeho nekonečné rozměry. Mystiku tak nejen nazírá, ale stejně tak i studuje, především stupně mystické cesty, která vede lidskou hledající duši z omezeného života logiky smyslů k nejvyššímu mystickému zážitku — ke sjednocení s Absolutním, Božským, k poznání nadsmyslové Skutečnosti. S mimořádnou naléhavostí nás Evelyn Underhill zve, abychom se pohroužili do sebe sama, objevili své nejvnitřnější já, a vstoupili tak do světa, kde za zavřenýma očima můžeme spatřit Nic a zároveň Vše.
Robert Vlach	Na volné noze	Na volné noze	2017	2017	978-80-7555-015-6.jpg	osobní rozvoj	První kniha v češtině o podnikání nezávislých profesionálů těží ze zkušeností mnoha set českých freelancerů z desítek oborů. Nabízí osvědčené postupy a know-how pro podnikání na volné noze: základy pro prvopodnikatele, nejlepší praktiky a kariérní strategie, ale také pokročilé nástroje, které ocení i profíci s více než desetiletou podnikatelskou praxí. Kniha tak pokrývá celé dlouhé období rozvoje podnikání, od zkusmých krůčků a začátečnických chyb, přes náročné první roky, až po plně zavedený osobní byznys postavený na odbornosti a dobrém jméně (s překvapivou pointou na závěr).
Stephen M. Johnson	Charakterová proměna člověka	Characterological transformation	2017	1985	80-251-0923-2.jpg	psychologie, psychoterapie, body	Po celá staletí moudří lidé vědí, že dobré vědecké teorie se vždy navzájem prověřují. Každá teorie osobnosti má své nedostatky a svá hluchá místa. Stephen Johnson je mistrem syntézy. V knize Charakterologická transformace obratně osvětluje egopsychologii, charakterovou analýzu a další teorie takovým způsobem, že se tyto teorie navzájem doplňují a společně vytváří širší a ucelenější přístup k poctivé práci psychoterapie. Edward Muller, Ph.D. Začínáme éru integrace teorií o vzniku psychopatologie a možného sbližování psychoterapeutických technik. V této fázi dojde k prohloubení dialogu mezi obvyklými terapeutickými školami. Charakterologická transformace je obdivuhodným pokusem o takovýto dialog, shrnujícím moderní podoby psychoanalytické teorie. Je to srozumitelný a inteligentní začátek velice vítaného dialogu. Mardi J. Horowitz, M.D., ředitel Centra pro studium neuróz, Psychiatrický ústav Langley Portera, San Francisco I když zcela nesouhlasím se všemi teoriemi a metodami Stephena Johnsona, udělala na mě dojem jeho schopnost převést i ty nejniternější teorie do aktivních metod intervence, které mohou lidem pomoci se změnit. Johnson nejenom popisuje nebo interpretuje. Má vůli něco udělat a tento jeho pokus popsat různé klinické projevy pomocí způsobu jejich vzniku odpovídá závažné studii. Paul L. Wachtel, Ph.D., profesor psychologie, City University, New York Práce S. M. Johnsona nepřináší žádnou novou teorii či nový terapeutický přístup. Pro sofistikovanějšího čtenáře nebude těžké identifikovat teoretická východiska autora a původ terapeutických postupů nebo metod. Přesto S. M. Johnson nepřichází s dalším přehledem už známého. Místo toho nabízí zasvěcený vhled do těch magických období života a vztahů, ve kterých začíná složitý osobnostní vývoj, s jehož různými obrazy se setkáváme v psychoterapeutické práci. Tato kniha je pěknou ilustrací zdařilé integrace teorie a klinické praxe. Určitě si zaslouží pozornost praktických psychologů a psychoterapeutů. PhDr. Anton Polák, psycholog, psychoterapeut O autorovi: Dr. Stephen Johnson získal doktorát na Northwestern University v roce 1968. Od té doby pracuje na University of Oregon, kde je nyní docentem psychologie. Svůj čas dělí mezi pedagogické povinnosti a privátní psychoterapeutickou praxi ve městě Eugene v Oregonu. Publikuje v odborných časopisech zaměřených na interakci rodina-dítě, výzkumné metodologie, sebekontrolu a problémy přizpůsobení se novému životu po rozvodu. Je rovněž autorem populární knihy První osoba, jednotné číslo: Jak žít dobrý život o samotě.
Robert A. Johnson	Věčný příběh romantické lásky	The psychology of romantic love	2017	1983	80-7178-722-1.jpg	psychoterapie	I když jsme lidé rozumní a žijeme ve světě, kde očekáváme střízlivou věcnost, každého z nás se citlivě dotýkají okamžiky romantické lásky a zamilovanosti, a to jak v realitě vlastní, v realitě druhých, tak ve snech a fantaziích. Robert A. Johnson ve své knize Věčný příběh romantické lásky vypráví příběh Tristana a Izoldy, tedy jeden z prvních velkých příběhů romantické lásky. Na jeho pozadí se zamýšlí nad podstatou a významem romantické lásky. Poukazuje na často nevědomá očekávání, která si muži i ženy do vzájemných vztahů přinášejí, přívětivým způsobem odhaluje velké iluze a ukazuje reálné možnosti. Kniha je elegantně a poeticky psanou psychologií lásky.
Alexander Lowen	Radost - Podvolte se tělu a životu	Joy: The Surrender to the Body and to Life	2017	1995	978-80-7500-198-6.jpg	psychoterapie, body	jóga
Sonu Shamdasani	C. G. Jung – Život v knihách	C. G. Jung. A biography in Books	2017	2012	978-80-262-0488-6.jpg	psychologie, biografie, jung	Čtyři roky po vydání Jungovy Červené knihy vydalo nakladatelství Norton obsáhlý ilustrovaný komentář k Jungově životopisu na pozadí jeho četby. Kniha vychází z unikátních dosud nezveřejněných Jungových rukopisů a z faksimile knih z Jungovy knihovny, které zakladatele hlubinné psychologie provázely po celý jeho tvůrčí život a které mu byly inspirací při promýšlení psychologických a filozofických koncepcí. Znovu se setkáme s ukázkami z tzv. Černých knih a z Červené knihy, s knihami, které Junga vedly ke studiu nevědomí, s texty gnostickými a alchimistickými i s klasickými rukopisy orientální moudrosti.
David Boadella	Wilhelm Reich: Průkopník nového myšlení	In the Wake of Reich	2017	1976	978-80-87580-51-6.jpg	psychoterapie, body, biografie	První důkladné zpracování život a díla Wilhelma Reicha,je jedním z největších objevitelů a myslitelů 20. století. Spolu s C. G. Jungem a Sigmundem Freudem je nejvýznamnějším průkopníkem analýzy, v níž kráčel vlastní cestou. Proto se stal kromě psychoanalytika a lékaře — zakladatelem tělesné psychoterapie a objevitelem v oboru léčby rakoviny, imunologie a dalších oborech, z nichž některé sám založil. Bez jeho odkazu jsou nemyslitelné mnohé dnešní terapeutické metody. Objevil léčivou i smrtící sílu všudypřítomné energie, kterou nazval orgon. Zahnal hurikán, přivolával a zaháněl déšť, přiměl arizonskou poušť, aby se zazelenala. Ve Spojených státech spálili jeho knihy a pohnali ho před soud. Ve vězení po půlroce zemřel.
David Boadella	Biosyntéza: Výbor z textů	výběr z textů	2017	2012	978-80-247-4135-2.jpg	psychoterapie, body	Biosyntéza je komplexní somaticky orientovaná psychoterapeutická metoda založená na spojení poznatků západní psychologie o psychosomatických blocích a východního učení o energetických drahách. Jejím zakladatelem je britský terapeut David Boadella, který je zároveň autorem většiny textů v knize.
James Hillman, Sonu Shamdasani	Nářek mrtvých	Lament of the Dead. Psychology After Jung's Red Book	2017	2013	978-80-262-0619-4.jpg	psychologie, jung	Rozhovor dvou předních současných světových psychologů, Jamese Hillmana, zakladatele hnutí archetypální psychologie, a editora Jungovy Červené knihy a historika psychologie Sonu Shamdasaniho, se odehrává na pozadí vydání Červené knihy a prochází tématy, která jsou důležitá pro moderní psychologii. Dotýká se vztahu živých a mrtvých, vztahu k mrtvým a živým v našich snech a fantaziích, otázek kreativity a výtvarného vyjádření, psychologie umění, narativní psychologie, hlubinné psychologie, významu křesťanství pro moderního člověka, vztahu člověka k minulosti a jejich souvislostí s dnešním myšlením.
